"data_id","language","form","age","gender","mom_ed","comprehension","production"
49245,"English","WG",17,"Female","Graduate",150,109
49246,"English","WG",17,"Male","Graduate",185,18
49247,"English","WG",17,"Male","Some College",224,104
49248,"English","WG",17,"Male","College",209,125
49249,"English","WG",18,"Female","Some College",283,129
49250,"English","WG",16,"Male","Some College",324,65
49251,"English","WG",17,"Female","Some College",189,60
49252,"English","WG",17,"Male","Some Secondary",143,32
49253,"English","WG",17,"Female","Some College",297,39
49254,"English","WG",17,"Male","Some Graduate",73,13
49255,"English","WG",17,"Female","College",183,31
49256,"English","WG",16,"Male","College",169,61
49257,"English","WG",18,"Female","Secondary",269,44
49258,"English","WG",18,"Male","Some College",236,92
49259,"English","WG",17,"Female","Some College",90,22
49260,"English","WG",16,"Male","Secondary",90,22
49261,"English","WG",17,"Male","Graduate",128,35
49262,"English","WG",16,"Female","Graduate",287,79
49263,"English","WG",16,"Male","College",327,18
49264,"English","WG",17,"Female","Graduate",272,124
49265,"English","WG",17,"Female","College",238,118
49266,"English","WG",17,"Male","Graduate",268,36
49267,"English","WG",17,"Male","Some College",208,145
49268,"English","WG",18,"Female","Some College",395,235
49269,"English","WG",17,"Male","College",261,174
49270,"English","WG",17,"Male","College",200,83
49271,"English","WG",17,"Male","Some College",163,2
49272,"English","WG",17,"Female","Graduate",276,149
49273,"English","WG",17,"Female","College",197,27
49274,"English","WG",16,"Male","Some College",269,73
49275,"English","WG",17,"Male","Secondary",275,110
49276,"English","WG",17,"Female","Some College",255,70
49277,"English","WG",17,"Male","Some College",124,23
49278,"English","WG",17,"Male","College",274,114
49279,"English","WG",17,"Male","Some College",144,23
49280,"English","WG",17,"Male","Secondary",279,103
49281,"English","WG",17,"Female","Some College",203,82
49282,"English","WG",18,"Female","Graduate",363,165
49283,"English","WG",17,"Female","Secondary",275,79
49284,"English","WG",16,"Male","Some College",278,164
49285,"English","WG",18,"Female","Secondary",323,66
49286,"English","WG",16,"Female","Graduate",279,46
49287,"English","WG",16,"Male","Secondary",213,48
49288,"English","WG",17,"Female","College",210,36
49289,"English","WG",18,"Male","College",261,49
49290,"English","WG",17,"Female","Secondary",251,15
49291,"English","WG",17,"Male","Secondary",231,19
49292,"English","WG",17,"Male","College",142,23
49293,"English","WG",17,"Male","College",230,9
49294,"English","WG",17,"Male","Some College",98,16
49295,"English","WG",17,"Male","College",290,67
49296,"English","WG",18,"Female","College",292,92
49297,"English","WG",17,"Female","College",241,35
49298,"English","WG",17,"Female","Some College",297,45
49299,"English","WG",17,"Male","Some College",68,12
49300,"English","WG",18,"Female","College",190,46
49301,"English","WG",17,"Female","College",127,45
49302,"English","WG",16,"Male","Some College",207,20
49303,"English","WG",17,"Female","Secondary",336,262
49304,"English","WG",17,"Female","College",221,91
49305,"English","WG",18,"Male","College",174,11
49306,"English","WG",17,"Female","Secondary",340,293
49307,"English","WG",17,"Female","College",129,7
49308,"English","WG",18,"Male","Graduate",244,24
49309,"English","WG",18,"Female","Some College",278,151
49310,"English","WG",17,"Male","College",304,198
49311,"English","WG",17,"Male","Some College",161,40
49312,"English","WG",16,"Female","Graduate",178,26
49313,"English","WG",17,"Male","Some College",127,13
49314,"English","WG",17,"Female","Some College",326,126
49315,"English","WG",18,"Male","College",242,58
49316,"English","WG",17,"Male","Graduate",244,24
49317,"English","WG",17,"Male","Some College",64,6
49318,"English","WG",17,"Female","Some College",205,51
49319,"English","WG",17,"Male","College",163,3
49320,"English","WG",17,"Male","College",325,174
49321,"English","WG",18,"Male","College",259,17
49322,"English","WG",17,"Male","Graduate",246,9
49323,"English","WG",18,"Female","Some College",81,45
49324,"English","WG",18,"Male","Secondary",197,61
49325,"English","WG",17,"Female","Graduate",177,7
49326,"English","WG",18,"Male","Some College",223,4
49327,"English","WG",18,"Male","Secondary",285,158
49328,"English","WG",17,"Female","Some Graduate",332,78
49329,"English","WG",18,"Female","Secondary",140,17
49330,"English","WG",18,"Female","College",103,57
49331,"English","WG",18,"Female","Secondary",326,176
49332,"English","WG",17,"Male","Graduate",228,68
49333,"English","WG",18,"Male","Some Secondary",151,9
49334,"English","WG",18,"Female","College",361,327
49335,"English","WG",18,"Female","Some College",330,152
49336,"English","WG",18,"Male","Secondary",296,117
49337,"English","WG",18,"Female","Some College",225,20
49338,"English","WG",18,"Male","Secondary",97,21
49339,"English","WG",18,"Male","Graduate",314,28
49340,"English","WG",18,"Male","Secondary",328,71
49341,"English","WG",18,"Male","Graduate",373,40
49342,"English","WG",18,"Female","College",287,106
49343,"English","WG",18,"Male","Secondary",303,58
49344,"English","WG",18,"Female","College",322,178
49345,"English","WG",18,"Male","Graduate",252,18
49346,"English","WG",18,"Male","Some College",315,190
49347,"English","WG",18,"Female","College",367,196
49348,"English","WG",18,"Female","Secondary",267,164
49349,"English","WG",18,"Female","College",344,95
49350,"English","WG",18,"Male","Some College",233,91
49351,"English","WG",18,"Female","Some College",269,13
49352,"English","WG",18,"Female","Secondary",125,31
49353,"English","WG",18,"Female","Some College",163,31
49354,"English","WG",18,"Female","College",191,28
49355,"English","WG",18,"Female","Some Graduate",275,97
49356,"English","WG",18,"Female","College",195,48
49357,"English","WG",18,"Female","College",395,207
49358,"English","WG",18,"Female","Some Graduate",378,291
49359,"English","WG",18,"Female","Some College",348,111
49360,"English","WG",18,"Male","Secondary",348,111
49361,"English","WG",18,"Female","Graduate",228,24
49362,"English","WG",17,"Female","College",234,82
49363,"English","WG",18,"Male","Graduate",144,19
49364,"English","WG",18,"Male","Some Graduate",311,145
49365,"English","WG",18,"Female","Some Graduate",266,59
49366,"English","WG",18,"Male","Graduate",266,59
49367,"English","WG",9,"Male","Some College",10,1
49368,"English","WG",18,"Male","Graduate",314,29
49369,"English","WG",14,"Male","Graduate",112,29
49370,"English","WG",12,"Female","Graduate",240,14
49371,"English","WG",15,"Female","College",294,190
49372,"English","WG",12,"Female","College",148,34
49373,"English","WG",12,"Male","Secondary",62,16
49374,"English","WG",13,"Female","Secondary",119,31
49375,"English","WG",12,"Female","College",75,1
49376,"English","WG",12,"Male","Secondary",55,3
49377,"English","WG",17,"Female","College",119,23
49378,"English","WG",12,"Male","Secondary",135,34
49379,"English","WG",15,"Female","College",129,72
49380,"English","WG",13,"Male","Secondary",65,4
49381,"English","WG",12,"Female","Secondary",85,6
49382,"English","WG",17,"Female","Graduate",158,37
49383,"English","WG",14,"Male","Some Graduate",36,2
49384,"English","WG",13,"Male","Some College",148,15
49385,"English","WG",12,"Female","Secondary",30,0
49386,"English","WG",18,"Female","College",153,23
49387,"English","WG",16,"Male","Some College",105,1
49388,"English","WG",13,"Male","Some College",78,0
49389,"English","WG",16,"Female","Some College",189,104
49390,"English","WG",13,"Male","Some College",80,15
49391,"English","WG",10,"Male","College",181,0
49392,"English","WG",10,"Female","College",8,3
49393,"English","WG",11,"Male","Secondary",36,12
49394,"English","WG",11,"Female","Secondary",111,15
49395,"English","WG",9,"Male","College",46,8
49396,"English","WG",10,"Male","Secondary",40,10
49397,"English","WG",16,"Female","Secondary",140,14
49398,"English","WG",15,"Male","Secondary",125,14
49399,"English","WG",9,"Female","Some Secondary",16,0
49400,"English","WG",8,"Female","Some Secondary",216,12
49401,"English","WG",9,"Female","Some College",28,3
49402,"English","WG",13,"Female","Secondary",2,0
49403,"English","WG",9,"Male","College",14,0
49404,"English","WG",18,"Female","Some Secondary",306,94
49405,"English","WG",18,"Female","Some Secondary",88,26
49406,"English","WG",12,"Female","Secondary",53,14
49407,"English","WG",12,"Male","Secondary",94,5
49408,"English","WG",18,"Female","College",367,194
49409,"English","WG",13,"Male","Some Graduate",110,40
49410,"English","WG",12,"Female","College",79,21
49411,"English","WG",17,"Male","Graduate",207,118
49412,"English","WG",15,"Female","College",326,106
49413,"English","WG",12,"Male","Secondary",98,5
49414,"English","WG",17,"Male","College",259,43
49415,"English","WG",12,"Male","College",152,31
49416,"English","WG",12,"Female","Graduate",185,5
49417,"English","WG",16,"Male","College",191,38
49418,"English","WG",13,"Male","Secondary",114,31
49419,"English","WG",12,"Male","Graduate",44,11
49420,"English","WG",12,"Male","Some Secondary",118,16
49421,"English","WG",12,"Male","Secondary",24,1
49422,"English","WG",12,"Male","Secondary",19,1
49423,"English","WG",18,"Male","Some College",136,52
49424,"English","WG",10,"Female","Some College",15,0
49425,"English","WG",10,"Male","Some College",17,0
49426,"English","WG",10,"Male","Graduate",59,6
49427,"English","WG",10,"Female","College",35,4
49428,"English","WG",10,"Male","Some Secondary",9,1
49429,"English","WG",10,"Female","Graduate",86,1
49430,"English","WG",10,"Male","Some College",42,15
49431,"English","WG",10,"Male","Some College",40,4
49432,"English","WG",10,"Female","Graduate",18,6
49433,"English","WG",10,"Male","College",25,1
49434,"English","WG",10,"Female","Some Secondary",10,0
49435,"English","WG",10,"Male","College",4,0
49436,"English","WG",10,"Female","College",51,6
49437,"English","WG",10,"Female","Secondary",40,15
49438,"English","WG",10,"Male","Graduate",17,4
49439,"English","WG",10,"Male","Some College",125,2
49440,"English","WG",10,"Male","College",30,2
49441,"English","WG",10,"Male","College",104,2
49442,"English","WG",10,"Female","Some College",68,4
49443,"English","WG",10,"Male","College",90,0
49444,"English","WG",10,"Female","Some Secondary",109,7
49445,"English","WG",10,"Female","Graduate",54,5
49446,"English","WG",10,"Male","Some College",40,4
49447,"English","WG",10,"Male","College",14,0
49448,"English","WG",10,"Female","Some Secondary",48,2
49449,"English","WG",10,"Male","Some College",18,7
49450,"English","WG",10,"Male","Some Secondary",39,2
49451,"English","WG",10,"Male","Secondary",26,0
49452,"English","WG",10,"Female","Secondary",25,5
49453,"English","WG",10,"Female","Some Secondary",142,3
49454,"English","WG",10,"Female","College",80,8
49455,"English","WG",10,"Male","Graduate",22,3
49456,"English","WG",10,"Female","Some Secondary",74,3
49457,"English","WG",10,"Female","Some Secondary",74,3
49458,"English","WG",9,"Male","College",15,1
49459,"English","WG",10,"Male","College",34,2
49460,"English","WG",10,"Male","Some College",84,16
